mon_dt,total_amount
2020-06,9860548712799.86
2019-10,6736552721178.31
2020-02,8283747129689.079
2019-11,5526309329219.692
2019-03,3767634286186.262
2020-05,8318486081998.418
2019-07,7180190496864.629
2019-05,5316554174530.439
2020-07,9646021663375.074
2019-08,5494384314360.468
2019-09,7938043801333.298
2020-03,10465596115691.213
2020-01,9234032831689.549
2019-06,5435539882123.004
2019-04,4392968429523.528
2020-09,231509707996.99252
2019-12,9670366316134.844
2020-08,8169818170470.698
2020-04,9362361499731.729
