dt,total_amount
20200801,358222598289.9229
20200601,294223151542.7349
20200901,299177482242.1498
20200701,374952306018.91705
20200301,190173259249.55255
20190701,639930676302.5309
20200501,358957469585.37897
20201001,15028023432.906002
20190801,387969124611.19885
20191101,297603558243.6626
20200101,298458825301.66284
20200401,398809044671.3861
20190901,232505742247.59467
20200201,420001562241.4705
20191001,339434257885.8414
20191201,299420207025.6795
20190501,687173085628.3114
20190401,450083821321.4442
20190601,754871179708.5857
