mon_dt,overdue_amount
2020-06,981413727548.2108
2019-10,630191710364.67
2020-02,804138764231.2871
2019-11,525450732280.35956
2019-03,453538748287.92926
2020-05,790009126717.0641
2019-07,636452073134.4996
2019-05,770923071451.169
2020-07,975276295445.39
2019-08,400525835221.20795
2019-09,625066083315.7402
2020-03,1093005808512.732
2020-01,839726155997.8187
2019-06,689419943305.5111
2019-04,618442405272.2245
2020-09,22477189003.103626
2019-12,827631209761.9487
2020-08,752704608145.2699
2020-04,947451438834.1364
