dt,overdue_amount
20200801,975276295445.3833
20200601,790009126717.0546
20200901,752704608145.2615
20200701,981413727548.1923
20200301,804138764231.2717
20190701,818332446568.4783
20200501,947451438834.1217
20201001,22477189003.103634
20190801,636452073134.503
20191101,630191710364.6681
20200101,682572481446.8137
20200401,1093005808512.714
20190901,400525835221.2077
20200201,839726155997.8152
20191001,625066083315.7357
20191201,525450732280.35815
20190501,762692722577.3871
20190401,589917799041.2074
20190601,935143427632.4926
