mon_dt,type,unique_num,cnt
2020-04,xd,44920051,174865574
2020-05,xj,3903417,12590234
2020-02,yh,2997277,6896321
2020-08,yh,2580066,6032373
2020-03,xd,46958552,209224866
2019-12,xd,37910394,128340297
2019-05,xd,17615673,50908462
2019-08,yh,1202218,2228550
2019-11,xj,2892557,8399486
2019-07,yh,1539477,3874961
2020-04,xj,4162897,14690156
2019-09,xd,32723007,85892537
2020-06,xd,45559634,138078854
2019-08,xj,2189918,6067590
2020-08,xd,37947335,124560810
2020-04,yh,3497537,8115215
2020-07,yh,3191203,7875028
2019-04,yh,1314241,2663830
2020-02,xd,38666095,148080557
2019-11,xd,27042275,66794219
2019-04,xd,16709906,43361870
2019-06,xj,2184501,6949994
2020-07,xj,4595284,14199030
2020-01,yh,2778683,5608579
2019-08,xd,26225554,63611990
2019-03,yh,944272,1817974
2019-09,yh,2181209,4239790
2019-07,xd,27479351,81202164
2019-10,xj,3232127,10844852
2020-09,xd,2415171,3059116
2019-06,xd,18331398,50375490
2019-12,xj,4061089,13472431
2019-11,yh,2133591,3872661
2019-07,xj,2483550,8218926
2020-03,yh,3393385,8210843
2020-05,yh,2949563,6627438
2020-07,xd,44805254,151080065
2019-05,yh,1567677,3639690
2019-03,xd,14403889,33345282
2020-01,xj,3830090,12246318
2019-06,yh,1975091,3777647
2020-09,xj,248565,279913
2020-08,xj,3911400,11233528
2020-03,xj,4014154,14350314
2019-03,xj,3525126,8082756
2019-04,xj,1947001,6427716
2019-10,xd,29534990,71198341
2020-06,yh,3386223,7975095
2019-05,xj,2243628,8312181
2020-05,xd,41168724,127534862
2020-02,xj,3544511,11198592
2019-09,xj,3066578,9594004
2020-09,yh,132532,178074
2019-10,yh,2234272,4699382
2019-12,yh,2863950,5661524
2020-06,xj,4133699,11691246
2020-01,xd,117371466,213248371
